bits,seed,algorithm,n,success,runtime_seconds,iteration_count,gcd_calls,modular_multiplies
16,30,smt_convolution_b16,21823,True,0.010394,1,0,4
16,30,smt_convolution_b256,21823,True,0.006425,1,0,2
16,31,smt_convolution_raw,20567,True,0.008436,1,0,0
16,31,smt_convolution_b16,20567,True,0.006322,1,0,4
16,31,smt_convolution_b256,20567,True,0.00911,1,0,2
16,32,smt_convolution_raw,24523,True,0.01174,1,0,0
16,32,smt_convolution_b16,24523,True,0.009541,1,0,4
16,32,smt_convolution_b256,24523,True,0.006462,1,0,2
16,33,smt_convolution_raw,49949,True,0.007124,1,0,0
16,33,smt_convolution_b16,49949,True,0.007086,1,0,4
16,33,smt_convolution_b256,49949,True,0.006031,1,0,2
16,34,smt_convolution_raw,33823,True,0.007572,1,0,0
16,34,smt_convolution_b16,33823,True,0.012109,1,0,4
16,34,smt_convolution_b256,33823,True,0.010433,1,0,2
16,35,smt_convolution_raw,36863,True,0.008317,1,0,0
16,35,smt_convolution_b16,36863,True,0.013283,1,0,4
16,35,smt_convolution_b256,36863,True,0.009209,1,0,2
16,36,smt_convolution_raw,58483,True,0.01164,1,0,0
16,36,smt_convolution_b16,58483,True,0.012773,1,0,4
16,36,smt_convolution_b256,58483,True,0.011032,1,0,2
16,37,smt_convolution_raw,36089,True,0.009205,1,0,0
16,37,smt_convolution_b16,36089,True,0.008254,1,0,4
16,37,smt_convolution_b256,36089,True,0.009291,1,0,2
16,38,smt_convolution_raw,31459,True,0.009063,1,0,0
16,38,smt_convolution_b16,31459,True,0.009992,1,0,4
16,38,smt_convolution_b256,31459,True,0.010276,1,0,2
16,39,smt_convolution_raw,41087,True,0.010318,1,0,0
16,39,smt_convolution_b16,41087,True,0.009674,1,0,4
16,39,smt_convolution_b256,41087,True,0.010524,1,0,2
16,40,smt_convolution_raw,20413,True,0.009913,1,0,0
16,40,smt_convolution_b16,20413,True,0.009931,1,0,4
16,40,smt_convolution_b256,20413,True,0.006702,1,0,2
16,41,smt_convolution_raw,52891,True,0.00997,1,0,0
16,41,smt_convolution_b16,52891,True,0.012357,1,0,4
16,41,smt_convolution_b256,52891,True,0.013037,1,0,2
16,42,smt_convolution_raw,25591,True,0.006428,1,0,0
16,42,smt_convolution_b16,25591,True,0.007732,1,0,4
16,42,smt_convolution_b256,25591,True,0.006578,1,0,2
16,43,smt_convolution_raw,24523,True,0.006155,1,0,0
16,43,smt_convolution_b16,24523,True,0.008357,1,0,4
16,43,smt_convolution_b256,24523,True,0.011224,1,0,2
16,44,smt_convolution_raw,32387,True,0.010473,1,0,0
16,44,smt_convolution_b16,32387,True,0.011357,1,0,4
16,44,smt_convolution_b256,32387,True,0.006153,1,0,2
16,45,smt_convolution_raw,38021,True,0.010246,1,0,0
16,45,smt_convolution_b16,38021,True,0.009791,1,0,4
16,45,smt_convolution_b256,38021,True,0.010724,1,0,2
16,46,smt_convolution_raw,31553,True,0.006854,1,0,0
16,46,smt_convolution_b16,31553,True,0.010867,1,0,4
16,46,smt_convolution_b256,31553,True,0.009891,1,0,2
16,47,smt_convolution_raw,46127,True,0.013672,1,0,0
16,47,smt_convolution_b16,46127,True,0.011029,1,0,4
16,47,smt_convolution_b256,46127,True,0.010647,1,0,2
16,48,smt_convolution_raw,33017,True,0.014181,1,0,0
16,48,smt_convolution_b16,33017,True,0.008154,1,0,4
16,48,smt_convolution_b256,33017,True,0.013488,1,0,2
16,49,smt_convolution_raw,55687,True,0.011152,1,0,0
16,49,smt_convolution_b16,55687,True,0.007272,1,0,4
16,49,smt_convolution_b256,55687,True,0.013161,1,0,2
20,0,smt_convolution_raw,826277,True,0.025109,1,0,0
20,0,smt_convolution_b16,826277,True,0.020496,1,0,5
20,0,smt_convolution_b256,826277,True,0.019133,1,0,3
20,1,smt_convolution_raw,473717,True,0.018357,1,0,0
20,1,smt_convolution_b16,473717,True,0.016622,1,0,5
20,1,smt_convolution_b256,473717,True,0.022925,1,0,3
20,2,smt_convolution_raw,857393,True,0.01308,1,0,0
20,2,smt_convolution_b16,857393,True,0.029085,1,0,5
